,vehicle id,model,event,time,location
0,C17 0,C17,arriving at KFCS,0.0,KFCS
1,C17 0,C17,Landing,0.0,KFCS
2,C17 0,C17,"Loading cargo idx:['SBCT_cargo_prio_1.0_0'], priority:1.0",10.125,KFCS
3,C17 0,C17,"Leaving from KFCS_parking_plane, going to KBGR_parking_plane",10.375,KFCS_parking_plane
4,C17 0,C17,arriving at KBGR,10.541666666666666,KBGR
5,C17 0,C17,Landing,10.541666666666666,KBGR
6,C17 0,C17,"Refueling, priority:1.0",10.541666666666666,KBGR
7,C17 0,C17,"Leaving from KBGR_parking_plane, going to ETAD_parking_plane",10.625,KBGR_parking_plane
8,C17 0,C17,arriving at ETAD,10.916666666666666,ETAD
9,C17 0,C17,Landing,10.916666666666666,ETAD
10,C17 0,C17,"Refueling, priority:1.0",10.916666666666666,ETAD
11,C17 0,C17,"Leaving from ETAD_parking_plane, going to EPKK_parking_plane",11.0,ETAD_parking_plane
12,C17 0,C17,arriving at EPKK,11.041666666666666,EPKK
13,C17 0,C17,Landing,11.041666666666666,EPKK
14,C17 0,C17,"Unloading cargo idx:['SBCT_cargo_prio_1.0_0'], priority:1.0",11.041666666666666,EPKK
15,C17 0,C17,"Leaving from EPKK_parking_plane, going to KBGR_parking_plane",11.166666666666666,EPKK_parking_plane
16,C17 0,C17,arriving at KBGR,11.5,KBGR
17,C17 0,C17,Landing,11.5,KBGR
18,C17 0,C17,"Refueling, priority:1.0",11.5,KBGR
19,C17 0,C17,"Leaving from KBGR_parking_plane, going to KGRK_parking_plane",11.583333333333334,KBGR_parking_plane
20,C17 0,C17,arriving at KGRK,11.708333333333334,KGRK
21,C17 0,C17,Landing,11.708333333333334,KGRK
22,C17 0,C17,"Loading cargo idx:['ABCT_cargo_prio_1.0_0'], priority:11.0",11.75,KGRK
23,C17 0,C17,"Leaving from KGRK_parking_plane, going to KBGR_parking_plane",11.916666666666666,KGRK_parking_plane
24,C17 0,C17,arriving at KBGR,12.041666666666666,KBGR
25,C17 0,C17,Landing,12.041666666666666,KBGR
26,C17 0,C17,"Refueling, priority:11.0",12.041666666666666,KBGR
27,C17 0,C17,"Leaving from KBGR_parking_plane, going to ETAD_parking_plane",12.125,KBGR_parking_plane
28,C17 0,C17,arriving at ETAD,12.416666666666666,ETAD
29,C17 0,C17,Landing,12.416666666666666,ETAD
30,C17 0,C17,"Refueling, priority:11.0",12.416666666666666,ETAD
31,C17 0,C17,"Leaving from ETAD_parking_plane, going to EPKK_parking_plane",12.5,ETAD_parking_plane
32,C17 0,C17,arriving at EPKK,12.541666666666666,EPKK
33,C17 0,C17,Landing,12.541666666666666,EPKK
34,C17 0,C17,"Unloading cargo idx:['ABCT_cargo_prio_1.0_0'], priority:11.0",12.541666666666666,EPKK
35,C17 0,C17,"Leaving from EPKK_parking_plane, going to KBGR_parking_plane",12.666666666666666,EPKK_parking_plane
36,C17 0,C17,arriving at KBGR,13.0,KBGR
37,C17 0,C17,Landing,13.0,KBGR
38,C17 0,C17,"Refueling, priority:11.0",13.0,KBGR
39,C17 0,C17,"Leaving from KBGR_parking_plane, going to KGRK_parking_plane",13.083333333333334,KBGR_parking_plane
40,C17 0,C17,arriving at KGRK,13.208333333333334,KGRK
41,C17 0,C17,Landing,13.208333333333334,KGRK
42,C17 1,C17,arriving at KFCS,0.0,KFCS
43,C17 1,C17,Landing,0.0,KFCS
44,C17 1,C17,"Loading cargo idx:['SBCT_cargo_prio_2.0_0'], priority:2.0",10.25,KFCS
45,C17 1,C17,"Leaving from KFCS_parking_plane, going to KBGR_parking_plane",10.458333333333334,KFCS_parking_plane
46,C17 1,C17,arriving at KBGR,10.625,KBGR
47,C17 1,C17,Landing,10.625,KBGR
48,C17 1,C17,"Refueling, priority:2.0",10.625,KBGR
49,C17 1,C17,"Leaving from KBGR_parking_plane, going to ETAD_parking_plane",10.708333333333334,KBGR_parking_plane
50,C17 1,C17,arriving at ETAD,11.0,ETAD
51,C17 1,C17,Landing,11.0,ETAD
52,C17 1,C17,"Refueling, priority:2.0",11.0,ETAD
53,C17 1,C17,"Leaving from ETAD_parking_plane, going to ETAR_parking_plane",11.083333333333334,ETAD_parking_plane
54,C17 1,C17,arriving at ETAR,11.125,ETAR
55,C17 1,C17,Landing,11.125,ETAR
56,C17 1,C17,"Refueling, priority:2.0",11.166666666666666,ETAR
