ICAO,Latitude,Longitude,Name
ADDE,"32° 54' 52.92"" N","85° 57' 46.79"" W",Thomas C Russell Field US
AGAT,"8° 52' 23.99"" S","161° 0' 39.61"" E",Atoifi Airport SB
AGBA,"7° 54' 46.01"" S","156° 42' 21.58"" E",Barakoma Airport SB
AGEV,"7° 34' 32.99"" S","156° 35' 49.20"" E",Geva Airport SB
AGGA,"8° 42' 9.25"" S","160° 40' 55.22"" E",Gwaunaru'u Airport SB
AGGE,"6° 59' 26.68"" S","155° 53' 11.96"" E",Ballalae Airport SB
AGGF,"8° 6' 27.00"" S","159° 34' 37.19"" E",Fera/Maringe Airport SB
AGGH,"9° 25' 40.80"" S","160° 3' 17.97"" E",Honiara International Airport SB
AGGI,"9° 44' 51.00"" S","159° 50' 20.42"" E",Babanakira Airport SB
AGGK,"10° 26' 58.92"" S","161° 53' 52.78"" E",Ngorangora Airport SB
AGGL,"10° 43' 13.08"" S","165° 47' 41.99"" E",Santa Cruz/Graciosa Bay/Luova Airport SB
AGGM,"8° 19' 40.69"" S","157° 15' 46.80"" E",Munda Airport SB
AGGN,"8° 5' 52.01"" S","156° 51' 50.39"" E",Nusatupe Airport SB
AGGO,"7° 25' 0.98"" S","155° 33' 54.01"" E",Mono Airport SB
AGGP,"9° 38' 30.01"" S","161° 25' 30.01"" E",Parasi Airport SB
AGGR,"11° 32' 2.04"" S","160° 3' 46.81"" E",Rennell/Tingoa Airport SB
AGGS,"8° 34' 44.00"" S","157° 52' 33.63"" E",Sege Airport SB
AGGU,"9° 51' 42.01"" S","160° 49' 29.99"" E",Marau Airport SB
AGGV,"7° 35' 8.02"" S","158° 43' 51.61"" E",Suavanao Airport SB
AGKG,"7° 19' 58.80"" S","157° 34' 58.77"" E",Kagau Island Airport SB
AGRC,"8° 7' 35.01"" S","157° 8' 34.82"" E",Ringi Cove Airport SB
AGRM,"8° 10' 5.02"" S","157° 38' 34.82"" E",Ramata Airport SB
ANYN,"0° 32' 50.85"" S","166° 55' 8.42"" E",Nauru International Airport NR
AQY,"60° 57' 57.96"" N","149° 7' 33.63"" W",Girdwood Airport US
AYBK,"5° 25' 20.35"" S","154° 40' 22.81"" E",Buka Island Airport PG
AYCH,"6° 1' 27.44"" S","144° 58' 15.57"" E",Chimbu Airport PG
AYDU,"9° 5' 12.33"" S","143° 12' 28.77"" E",Daru Airport PG
