ICAO,Latitude,Longitude,Name
AAA,"17° 21' 9.36"" S","145° 30' 35.98"" W",Anaa Airport (French Polynesia)
AAB,"26° 42' 0.00"" S","141° 3' 0.01"" E",Arrabury Airport (Australia)
AAC,"31° 4' 23.88"" N","33° 50' 8.88"" E",El Arish International Airport (Egypt)
AAE,"36° 49' 19.92"" N","7° 48' 33.01"" E",Rabah Bitat Airport (Les Salines Airport) (Algeria)
AAF,"29° 43' 39.40"" N","85° 1' 38.70"" W",Apalachicola Municipal Airport (United States)
AAG,"24° 6' 13.95"" S","49° 47' 20.68"" W",Arapoti Airport (Brazil)
AAH,"50° 49' 23.00"" N","6° 11' 11.00"" E",Aachen-Merzbrück Airport (Germany)
AAI,"13° 1' 26.00"" S","46° 53' 8.00"" W",Arraias Airport (Brazil)
AAK,"0° 11' 7.00"" N","173° 38' 13.18"" E",Aranuka Airport (Kiribati)
AAL,"57° 5' 33.93"" N","9° 50' 57.28"" E",Aalborg Airport (Denmark)
AAM,"24° 49' 5.16"" S","31° 32' 40.56"" E",Mala Mala Airport (South Africa)
AAN,"24° 15' 42.12"" N","55° 36' 33.12"" E",Al Ain International Airport (United Arab Emirates)
AAO,"9° 25' 48.81"" N","64° 28' 14.61"" W",Anaco Airport (Venezuela)
AAQ,"45° 0' 7.57"" N","37° 20' 50.29"" E",Vityazevo Airport (Russian Federation)
AAR,"56° 17' 60.00"" N","10° 37' 8.40"" E",Aarhus Airport (Denmark)
AAT,"47° 44' 59.59"" N","88° 5' 8.91"" E",Altay Airport (China)
AAU,"13° 30' 20.88"" S","172° 37' 40.82"" W",Asau Airport (Samoa)
AAV,"6° 22' 0.55"" N","124° 45' 3.60"" E",Allah Valley Airport (Philippines)
AAW,"34° 12' 0.00"" N","73° 15' 0.00"" E",Abbottabad Airport (Pakistan)
AAX,"19° 33' 47.52"" S","46° 57' 37.44"" W",Araxa Airport (Aeroporto Araxá) (Brazil)
AAY,"16° 11' 30.12"" N","52° 10' 30.00"" E",Al Ghaydah Airport (Yemen)
AAZ,"14° 51' 56.16"" N","91° 30' 7.20"" W",Quetzaltenango Airport (Guatemala)
ABA,"53° 44' 24.01"" N","91° 23' 6.01"" E",Abakan Airport (Russian Federation)
ABB,"6° 12' 12.00"" N","6° 39' 32.00"" E",Asaba International Airport (Nigeria)
ABC,"38° 56' 54.61"" N","1° 51' 48.67"" W",Albacete-Los Llanos Airport (Spain)
ABD,"30° 22' 15.96"" N","48° 13' 41.87"" E","Abadan Airport (Iran, Islamic Republic of)"
ABE,"40° 39' 7.50"" N","75° 26' 26.90"" W",Lehigh Valley International Airport (United States)
ABF,"1° 47' 55.00"" N","173° 2' 27.60"" E",Abaiang Atoll Airport (Kiribati)
ABH,"23° 38' 45.96"" S","146° 35' 2.40"" E",Alpha Airport (Australia)
ABI,"32° 24' 40.75"" N","99° 40' 54.83"" W",Abilene Regional Airport (United States)
